f1_length,f2_length,f3_length,f4_length,timestamp
1,0.09354997673971,1,0,1769670353972
1,0.17074160900081,1,0,1769670353989
1,0.26470176342531,1,0,1769670354006
1,0.34440863507284,1,0,1769670354023
1,0.43022542531175,1,0,1769670354039
1,0.5104201764113,1,0,1769670354056
1,0.60974374106943,1,0,1769670354072
1,0.69537945897096,1,0,1769670354089
1,0.79452030356223,1,0,1769670354106
1,0.90722439914947,1,0,1769670354122
1,1,1,0,1769670354139
1,1,1,0,1769670354156
1,1,1,0,1769670354173
1,1,1,0,1769670354189
1,1,1,0,1769670354206
1,1,1,0,1769670354222
1,1,1,0,1769670354239
1,1,1,0,1769670354256
1,1,1,0,1769670354272
1,1,1,0,1769670354289
1,1,1,0,1769670354306
1,1,1,0.01334196141265,1769670355833
1,1,1,0.02667475457472,1769670355841
1,1,1,0.03976932459669,1769670355856
1,1,1,0.07926087926901,1769670355872
1,1,1,0.28642554920594,1769670355889
1,1,1,0.4763232872543,1769670355906
1,1,1,0.67308264457658,1769670355922
1,1,1,0.85031212686793,1769670355939
1,1,1,1,1769670355956
1,1,1,1,1769670355972
1,1,1,1,1769670355989
1,1,1,1,1769670356006
1,1,1,1,1769670356022
1,1,1,1,1769670356039
1,1,1,1,1769670356056
1,1,1,1,1769670356072
1,1,1,1,1769670356089
1,1,1,1,1769670356106
1,1,1,1,1769670356122
1,1,1,1,1769670356139
1,1,1,1,1769670356156
1,1,1,1,1769670356172
1,1,1,1,1769670356189
1,1,1,0.99346886931929,1769670359413
1,1,1,0.98043955868266,1769670359429
1,1,1,0.96734498866069,1769670359439
1,1,1,0.95425041863872,1769670359456
1,1,1,0.94122311605282,1769670359472
1,1,1,0.92812854603085,1769670359489
1,1,1,0.89540956451328,1769670359506
1,1,1,0.8823149944913,1769670359522
1,1,1,0.84959668854254,1769670359539
1,1,1,0.79729423957646,1769670359556
1,1,1,0.77767167667667,1769670359572
1,1,1,0.75804946064065,1769670359589
1,1,1,0.75152193279576,1769670359611
1,1,1,0.7449945245485,1769670359623
1,1,1,0.7253729146737,1769670359639
1,1,1,0.68617330157709,1769670359656
1,1,1,0.64036431919861,1769670359672
1,1,1,0.60765067213969,1769670359689
1,1,1,0.59464849417501,1769670359706
1,1,1,0.58812446985048,1769670359722
1,1,1,0.57502989982851,1769670359739
1,1,1,0.56193532980653,1769670359756
1,1,1,0.54231795229155,1769670359772
1,1,1,0.53579532850224,1769670359789
1,1,1,0.49661492513922,1769670359806
1,1,1,0.49009367013357,1769670359822
1,1,1,0.47699910011159,1769670359839
1,1,1,0.47047848032953,1769670359856
1,1,1,0.45738391030756,1769670359872
1,1,1,0.44428934028559,1769670359897
1,1,1,0.43119477026361,1769670359905
1,1,1,0.40500563021967,1769670359922
1,1,1,0.38539359724328,1769670359939
1,1,1,0.35920445719934,1769670359955
1,1,1,0.33959445399087,1769670359972
1,1,1,0.32649988396889,1769670359989
1,1,1,0.31998540684687,1769670360006
1,1,1,0.30037737488528,1769670360022
1,1,1,0.30695813532403,1769670360261
1,1,1,0.31353855521048,1769670360272
1,1,1,0.32663312523245,1769670360289
1,1,1,0.3528222652764,1769670360306
1,1,1,0.37249448739175,1769670360322
1,1,1,0.3986836274357,1769670360339
1,1,1,0.45117119924953,1769670360355
1,1,1,0.47736033929347,1769670360372
1,1,1,0.49702800694874,1769670360389
1,0.98037446031792,1,0.49702800694874,1769670361830
1,0.96734580667138,1,0.49702800694874,1769670361839
1,0.8763218565907,1,0.49702800694874,1769670361856
1,0.72122144502133,1,0.49702800694874,1769670361872
1,0.54035413800135,1,0.49702800694874,1769670361889
1,0.38513111068582,1,0.49702800694874,1769670361905
1,0.26856330448421,1,0.49702800694874,1769670361922
1,0.24237416444026,1,0.49702800694874,1769670361939
1,0.18999588435237,1,0.49702800694874,1769670361955
1,0.18349007256082,1,0.49702800694874,1769670361972
1,0.14438586123161,1,0.49702800694874,1769670361989
1,0.13788406372851,1,0.49702800694874,1769670362005
1,0.11828966995558,1,0.49702800694874,1769670362022
1,0.1117905392478,1,0.49702800694874,1769670362043
1,0.11838527547266,1,0.49702800694874,1769670362153
1,0.12497932891471,1,0.49702800694874,1769670362161
1,0.13825573185005,1,0.49702800694874,1769670362172
1,0.16513332819538,1,0.49702800694874,1769670362189
1,0.2050543831001,1,0.49702800694874,1769670362205
1,0.2580128712728,1,0.49702800694874,1769670362222
1,0.32465943297536,1,0.49702800694874,1769670362239
1,0.37812308376832,1,0.49702800694874,1769670362256
1,0.41752098429669,1,0.49702800694874,1769670362272
1,0.42409656746553,1,0.49702800694874,1769670362289
1,0.44376600436589,1,0.49702800694874,1769670362306
1,0.45034063983799,1,0.49702800694874,1769670362322
1,0.47663563515299,1,0.49702800694874,1769670362339
1,0.49630332535609,1,0.49702800694874,1769670362355
1,0.50939789537806,1,0.49702800694874,1769670362372
1,0.52249246540004,1,0.49702800694874,1769670362549
1,0.52906460411072,1,0.49702800694874,1769670362557
1,0.53563655484949,1,0.49702800694874,1769670362605
1,0.54220832044351,1,0.49702800694874,1769670362622
1,0.55530289046548,1,0.49702800694874,1769670362639
1,0.55530289046548,0.98690542997803,0.49702800694874,1769670365757
1,0.55530289046548,0.98037446031792,0.49702800694874,1769670365772
1,0.55530289046548,0.93456037013875,0.49702800694874,1769670365788
1,0.55530289046548,0.86937269045492,0.49702800694874,1769670365805
1,0.55530289046548,0.80397522597618,0.49702800694874,1769670365822
1,0.55530289046548,0.75167596549132,0.49702800694874,1769670365838
1,0.55530289046548,0.69293838072964,0.49702800694874,1769670365855
1,0.55530289046548,0.60164324770055,0.49702800694874,1769670365872
1,0.55530289046548,0.48421169506595,0.49702800694874,1769670365888
1,0.55530289046548,0.36648308469678,0.49702800694874,1769670365905
1,0.55530289046548,0.33377878915342,0.49702800694874,1769670365922
1,0.55530289046548,0.32068421913145,0.49702800694874,1769670365938
1,0.55530289046548,0.29449507908751,0.49702800694874,1769670365955
1,0.55530289046548,0.28140050906553,0.49702800694874,1769670365972
